"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Cubics Eindhoven","","CUBICS-ZB15G8","cubics-zb15g8_eoa1e","4008640",,"Physical",,,"1",,,,"InProduction","8/16/2022 12:00:00 AM","5/5/2022 12:00:00 AM","","1404.46","975.03"
,"Cubics","CUB","Cubics Eindhoven","","PS-UNIVERSAL","ps-universal_jqzw2","4052167",,"Virtual",,"1",,,,,"InProduction","9/28/2022 12:00:00 AM","5/5/2022 12:00:00 AM","","33.89","30.5"
,"Cubics","CUB","Tsavo","","JAV16480","desktop-r0o3sg6_6wlw4","3885351",,"Physical",,,"1",,,,"InProduction","4/15/2022 12:00:00 AM","4/15/2022 12:00:00 AM","","112.89","136.98"
,"Cubics","CUB","Haans Autoschades BV","","HAANS-DC01","haans-dc01_e2hty","3990146",,"Virtual",,"1",,,,,"InProduction","7/27/2022 12:00:00 AM","8/26/2022 12:00:00 AM","","56.5","28.5"
,"Cubics","CUB","Haans Autoschades BV","","HAANS-FS01","haans-fs01_dx7o7","3990149",,"Virtual",,"1",,,,,"InProduction","7/27/2022 12:00:00 AM","8/26/2022 12:00:00 AM","","493.03","362.74"
,"Cubics","CUB","Haans Autoschades BV","","HAANS-MGT01","haans-mgt01_g16ih","3989387",,"Virtual",,"1",,,,,"InProduction","7/27/2022 12:00:00 AM","8/26/2022 12:00:00 AM","","69.59","36.38"
,"Cubics","CUB","Haans Autoschades BV","","HAANSSVR-SQL01","haanssvr-sql01_dstzf","3990151",,"Virtual",,"1",,,,,"InProduction","7/27/2022 12:00:00 AM","8/26/2022 12:00:00 AM","","122.06","137.36"
,"Cubics","CUB","De Groot Service","DGS","DGS-SRV01","dgs-srv01_amvsf","4011306",,"Virtual",,"1",,,,,"InProduction","8/18/2022 12:00:00 AM","9/18/2022 12:00:00 AM","","143.06","100.54"
,"Cubics","CUB","De Groot Service","DGS","DGS-SYNTESS","dgs-syntess_yte5y","4011282",,"Virtual",,"1",,,,,"InProduction","8/18/2022 12:00:00 AM","9/18/2022 12:00:00 AM","","106.7","116.47"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-RDSH01-2016","eco-rdsh01-2016_7duvy","4088912",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","88.61","63.21"
